conceptUri,preferredLabel,altLabels,skillType,reuseLevel,description
http://data.europa.eu/esco/skill/6833e58b-eceb-4599-9375-1b7e6ec64087,"ensure information security","",skill/competence,transversal,"Ensure that the information gathered during surveillance or investigations remains in the hands of those authorised to receive and use it, and does not fall into enemy or otherwise non-authorised indi"
http://data.europa.eu/esco/skill/6e07db2d-a346-4388-af3f-6132d6be5536,"investigate social security applications","",skill/competence,transversal,"Investigate the eligibility of citizens applying for social security benefits by examining documents, interviewing the citizen, and researching the related legislation."
http://data.europa.eu/esco/skill/144aba2f-dddd-41bc-b519-0ea6d51bcd6b,"promote social security programmes","",skill/competence,transversal,"Promote government programmes dealing with the provision of aid to individuals in order to gain support for the development and implementation of social security programmes."
http://data.europa.eu/esco/skill/2e69f3a4-e0be-4990-aff7-facc1b6c6860,"match goods with appropriate packaging according to security procedures","",skill/competence,transversal,"Relate goods to be packed with the required security equipment following appropriate security procedures."
http://data.europa.eu/esco/skill/57b47003-0f60-4b9f-841e-255bd9bd8b30,"carry out covert security observations","",skill/competence,transversal,"Perform observations in ways that preserve the covert security role, by dressing up, behaving and communicating with other colleagues or authorities appropriately."
http://data.europa.eu/esco/skill/27d19c6f-701f-4202-89fa-c4de10f52080,"monitor parking areas to maintain security","",skill/competence,transversal,"Monitor the entry and exit routes within the parking areas and report on any hazards, accidents or violations."
http://data.europa.eu/esco/skill/2a3a96a3-709e-4d60-81f6-d247d6933f13,"manage system security","",skill/competence,transversal,"Analyse the critical assets of a company and identify weaknesses and vulnerabilities that lead to intrusion or attack. Apply security detection techniques. Understand cyber attack techniques and imple"
http://data.europa.eu/esco/skill/d5d8e3e0-15a8-4cea-b877-7100363e36c7,"ensure private property security","",skill/competence,transversal,"Make sure that gates and doors are locked, windows are closed and alarm systems are active, in order to prevent burglaries or theft."
http://data.europa.eu/esco/skill/3579208e-49b3-4ce4-98e7-20e41b1ce8d4,"develop information security strategy","",skill/competence,transversal,"Create company strategy related to the safety and security of information in order to maximise information integrity, availability and data privacy."
http://data.europa.eu/esco/skill/fcc97ec2-e8c3-4cad-aaac-1041cd732ac6,"secure premises","",skill/competence,transversal,"Search premises for potential insecurities or risks. If insecurities are detected, remove them in order to assure the client's safety."
http://data.europa.eu/esco/skill/2fcec93b-9287-4527-84db-888f1165d8fb,"ensure protection of car parking","",skill/competence,transversal,"Guarantee protection, safety and security of parked cars."
http://data.europa.eu/esco/skill/fe1c2b32-7fe9-4668-affa-07ff658a68cf,"identify ICT security risks","",skill/competence,transversal,"Apply methods and techniques to identify potential security threats, security breaches and risk factors using ICT tools for surveying ICT systems, analysing risks, vulnerabilities and threats and eval"
http://data.europa.eu/esco/skill/d7cae736-7937-4b25-a015-0dbb3a8cf61e,"develop social security programmes","",skill/competence,transversal,"Develop programmes and policies which aim to protect citizens and grant them rights, such as unemployment and family benefits, as well as to prevent their misuse of government-provided aid."
http://data.europa.eu/esco/skill/0302f93a-0d38-4c00-bc37-eda17b6316ea,"biosecurity related to animals","",skill/competence,transversal,"Awareness of hygiene and bio-security measures when working with animals, including causes, transmission and prevention of diseases and use of policies, materials and equipment."
http://data.europa.eu/esco/skill/86d2e2ea-1ba2-4aa6-b465-8a1f9abc81b8,"apply information security policies","",skill/competence,transversal,"Implement policies, methods and regulations for data and information security in order to respect confidentiality, integrity and availability principles."
